URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/medication-statement-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.370",Medication usage category codes,Medication usage category codes,"Medication Status Codes","StructureDefinition/mii-pr-medikation-medication-statement","THO"
http://hl7.org/fhir/uv/ips/ValueSet/medicine-doseform,2.0.0,active,,MedicineDoseFormUvIps,Medicine EDQM Doseform - IPS,"While SNOMED remains a preferred binding for medicine doseform, EDQM (European Directorate for the Quality of Medicines and Healthcare) doseform codes are allowed as additional binding.   This Value Set includes all the EDQM Standard Terms having:   [Concept Status] = ‘C’ AND   [Concept Class] IN (‘PDF’, ‘CMT’, ‘CDF’, ‘PFT') AND   [Domain] = 'H+V'    C = 'Current'; PDF = 'Pharmaceutical dose form'; CMT = 'Combined terms'; CDF = 'Combined pharmaceutical dose form'; PFT = 'Patient Friendly'; H+V = 'Human and Veterinary'","StructureDefinition/mii-pr-medikation-medication","Other"
http://hl7.org/fhir/uv/ips/ValueSet/medicine-route-of-administration,2.0.0,active,,MedicineRouteOfAdministrationUvIps,Medicine EDQM Route of Administration - IPS,"While SNOMED remains a preferred binding for medicine route, EDQM (European Directorate for the Quality of Medicines and Healthcare) route of administration codes are allowed as additional binding.   EDQM (European Directorate for the Quality of Medicines and Healthcare) Route of Administration codes.  This Value Set includes all the EDQM Standard Terms having:   [Concept Status] = ‘C’ AND   [Concept Class] = 'ROA' AND   [Domain] = 'H+V'    C = 'Current'; ROA = 'Route of administration'; H+V = 'Human and Veterinary'","StructureDefinition/mii-pr-medikation-medication-statement,StructureDefinition/mii-pr-medikation-medication-administration,StructureDefinition/mii-pr-medikation-medication-request","Other"
http://hl7.org/fhir/uv/ips/ValueSet/target-site-uv-ips,1.1.0,active,,TargetSiteUvIps,Target Site - IPS,"This value set includes codes from SNOMED Clinical Terms®: all descendants of 442083009 | Anatomical or acquired body structure (body structure)|.","StructureDefinition/mii-pr-medikation-medication-statement,StructureDefinition/mii-pr-medikation-medication-administration,StructureDefinition/mii-pr-medikation-medication-request","SCT"
https://www.medizininformatik-initiative.de/fhir/core/modul-medikation/ValueSet/fallkontext,2026.0.1,active,,MII_VS_Medikation_Fallkontext,MII VS Medikation Fallkontext,"Codes zur Differenzierung des Kontextes in dem eine Medikationsliste verwaltet wird.","StructureDefinition/mii-pr-medikation-medikationsliste,StructureDefinition/mii-pr-medikation-medication-statement","de.ihe-d.terminology"
https://www.medizininformatik-initiative.de/fhir/core/modul-medikation/ValueSet/mii-vs-medikation-ask,2026.0.1,active,,MII_VS_Medikation_ASK,MII VS Medikation ASK,"Enthaelt alle ASK-Codes","StructureDefinition/mii-pr-medikation-medication","Other"
https://www.medizininformatik-initiative.de/fhir/core/modul-medikation/ValueSet/mii-vs-medikation-atc,2026.0.1,active,,MII_VS_Medikation_ATC,MII VS Medikation ATC,"Enthaelt ATC-Codes der Versionen 2018 bis 2024","StructureDefinition/mii-pr-medikation-medication-statement,StructureDefinition/mii-pr-medikation-medication,StructureDefinition/mii-pr-medikation-medication-administration,StructureDefinition/mii-pr-medikation-medication-request","Other"
https://www.medizininformatik-initiative.de/fhir/core/modul-medikation/ValueSet/mii-vs-medikation-unii,2026.0.1,active,,MII_VS_Medikation_UNII,MII VS Medikation UNII,"Enthaelt Unique Ingredient Identifier (UNII-Codes)","StructureDefinition/mii-pr-medikation-medication","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/core/modul-medikation/ValueSet/wirkstofftyp,2026.0.1,active,,MII_VS_Medikation_Wirkstofftyp,MII VS Medikation Wirkstofftypen,"Codes zur Differenzierung von Wirkstoffen zwischen genauer Substanz (z.B. Salz, Ester etc.), allgemeiner (normalisierter) Substanz und Kombinationscode für mehrere Wirkstoffe.","StructureDefinition/mii-ex-medikation-wirkstofftyp","Internal"
